image,caption
000000000063.jpg,A person is playing sports with a sports ball.
000000000748.jpg,A person is eating carrots and broccoli at a dining table with chairs.
000000000774.jpg,Motorcycles are parked on the street.
000000000979.jpg,A person is riding a motorcycle.
000000001024.jpg,A cat is playing with a keyboard.
000000001118.jpg,A person is eating a hot dog.
000000001367.jpg,A person is skateboarding on a skateboard.
000000001371.jpg,An elephant is grazing on a grassy field.
000000001439.jpg,A group of people are playing frisbee, horse, and sports ball with a dog.
000000002161.jpg,A person is skiing on a snowboard.
000000002487.jpg,A toilet, chair, and vase.
000000002539.jpg,A person is holding a giraffe.
000000002922.jpg,A giraffe is standing next to a giraffe.
000000002953.jpg,A person is snowboarding.
000000002981.jpg,A person is sitting on a chair with umbrellas.
000000003038.jpg,A group of people are sitting on a bench with backpacks next to an elephant.
000000003406.jpg,A traffic light is on.
000000003407.jpg,A fork and cup of cake on a dining table.
000000003720.jpg,A person is holding an umbrella in a handbag.
000000003990.jpg,A person is surfing on a surfboard.
000000004126.jpg,A toilet with a seat in the middle of the room.
000000004127.jpg,A clock with a white face.
000000004398.jpg,A person is skateboarding on a skateboard.
000000004432.jpg,A person is holding a baseball bat and sports ball.
000000004440.jpg,A person is skiing down a hill.
000000004677.jpg,A person is skiing with a bird in the background.
000000004752.jpg,A person is playing frisbee with a friend.
000000004770.jpg,A person is riding a skateboard.
000000004792.jpg,A person is riding a skateboard.
000000004954.jpg,A dog is playing with a frisbee.
000000005036.jpg,A stop sign is on a road.
000000005208.jpg,A teddy bear is tied to a chair.
000000005238.jpg,A microwave oven with a plate on top.
000000005382.jpg,A person is riding a skateboard.
000000005433.jpg,A person is playing tennis with a tennis racket.
000000005578.jpg,A person is surfing on a surfboard.
000000005780.jpg,A person is standing next to a fire hydrant.
000000005896.jpg,A fire hydrant with a bottle on top.
000000005980.jpg,A toilet with a seat on top of it.
000000006249.jpg,A zebra is grazing on a grassy area.
000000006476.jpg,A person is skiing down a hill.
000000006841.jpg,A fire hydrant is on a street.
000000006843.jpg,A person is holding an umbrella while people are walking by.
000000007101.jpg,A zebra is grazing on a grassy plain.
000000007322.jpg,A person is skateboarding on a skateboard.
000000007334.jpg,A person is surfing on a surfboard.
000000007435.jpg,A person is playing tennis with a tennis racket.
000000007436.jpg,A person is throwing a frisbee.
000000007493.jpg,A bathroom with a sink, toilet, and refrigerator.
000000007578.jpg,A clock with a clock on it.
000000008046.jpg,A person is cutting a cake with an apple, knife, and cell phone.
000000008147.jpg,A person is preparing to use a remote.
000000008301.jpg,A group of people are skateboarding on a bench.
000000008500.jpg,A person is grazing sheep with a dog.
000000008537.jpg,A toilet with a seat in the middle of the room.
000000008609.jpg,A person is posing with a giraffe.
000000008692.jpg,A car, bicycle, and parking meter are parked in a parking lot.
000000008802.jpg,A person is skateboarding on a bench.
000000008871.jpg,A cat is in the oven.
000000008903.jpg,A zebra is grazing on a grassy area.
